phylum,class,order,familly,genus,species
Arthropoda,Malacostraca,Amphipoda,Melitidae,Abludomelita,Abludomelita obtusata
Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra alba
Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra nitida
Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra prismatica
Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra segmentum
Mollusca,Bivalvia,Cardiida,Semelidae,Abra,Abra tenuis
Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia echinata
Mollusca,Bivalvia,Cardiida,Cardiidae,Acanthocardia,Acanthocardia tuberculata
Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona crinita
Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Acanthochitona,Acanthochitona fascicularis
Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Acanthodoris,Acanthodoris pilosa
Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Acanthostepheia,Acanthostepheia malmgreni
Arthropoda,Pycnogonida,Pantopoda,Ammotheidae,Achelia,Achelia echinata
Echinodermata,Ophiuroidea,Ophiurida,Amphiuridae,Acrocnida,Acrocnida brachiata
Mollusca,Gastropoda,Patellogastropoda,Acteonidae,Acteon,Acteon tornatilis
Cnidaria,Anthozoa,Actiniaria,Actiniidae,Actinia,Actinia equina
Mollusca,Gastropoda,Nudibranchia,Onchidorididae,Adalaria,Adalaria proxima
Mollusca,Gastropoda,Nudibranchia,Aeolidiidae,Aeolidia,Aeolidia papillosa
Mollusca,Bivalvia,Pectinida,Pectinidae,Aequipecten,Aequipecten opercularis
Arthropoda,Malacostraca,Decapoda,Ocypodidae,Afruca,Afruca tangeri
Porifera,Demospongiae,Agelasida,Agelasidae,Agelas,Agelas oroides
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium acaule
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium coralloides
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium digitatum
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium glomeratum
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium hibernicum
Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Alcyonium,Alcyonium palmatum
Mollusca,Gastropoda,Sacoglossa,Limapontiidae,Alderia,Alderia modesta
Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta succinea
Annelida,Polychaeta,Phyllodocida,Nereididae,Alitta,Alitta virens
Mollusca,Cephalopoda,Myopsida,Loliginidae,Alloteuthis,Alloteuthis media
Mollusca,Cephalopoda,Myopsida,Loliginidae,Alloteuthis,Alloteuthis subulata
Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca armoricana
Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca brevicornis
